title,box_office,country,genre,production,rating,runtime,year
Iron Man 3,1,1,3,Walt Disney Pictures,PG-13,130,2013
Frozen,1,1,6,Walt Disney Pictures,PG,102,2013
Despicable Me 2,1,3,6,Universal Pictures,PG,98,2013
The Hunger Games: Catching Fire,1,1,4,Lionsgate Films,PG-13,146,2013
Man of Steel,1,2,3,Warner Bros. Pictures,PG-13,143,2013
The Gravity,1,1,1,Warner Bros. Pictures,Unrated,75,2013
Gravity,1,2,3,Warner Bros. Pictures,PG-13,91,2013
Monsters University,1,1,5,Walt Disney Pictures,G,104,2013
Fast & Furious 6,1,4,3,Universal Pictures,PG-13,130,2013
Oz the Great and Powerful,1,1,3,Walt Disney Pictures,PG,130,2013
Star Trek Into Darkness,1,1,3,Paramount,PG-13,132,2013
Thor: The Dark World,1,1,3,Walt Disney Pictures,PG-13,112,2013
World War Z,1,3,4,Paramount Pictures,PG-13,116,2013
The Croods,1,1,6,20th Century Fox,PG,98,2013
The Hobbit: The Desolation of Smaug,1,2,2,Warner Bros.,PG-13,161,2013
The Heat,1,1,3,20th Century Fox,R,117,2013
We're the Millers,1,2,2,Warner Bros. Pictures,R,110,2013
The Great Gatsby,1,2,2,Warner Bros. Pictures,PG-13,143,2013
The Conjuring,1,1,3,Warner Bros. Pictures,R,112,2013
Identity Thief,1,1,3,Universal Pictures,R,111,2013
The Wolverine,0,2,3,20th Century Fox,PG-13,126,2013
Grown Ups 2,0,1,1,Sony Pictures,PG-13,101,2013
G.I. Joe: Retaliation,0,1,4,Paramount Pictures,PG-13,110,2013
Cloudy with a Chance of Meatballs 2,0,1,6,Sony Pictures,PG,95,2013
Now You See Me,0,2,3,Lionsgate Films,PG-13,115,2013
Lee Daniels' The Butler,0,1,2,The Weinstein Company,PG-13,132,2013
The Hangover Part III,0,1,1,Warner Bros. Pictures,R,100,2013
Epic,0,1,6,Twentieth Century Fox,PG,102,2013
Captain Phillips,0,1,4,Sony Pictures,PG-13,134,2013
Pacific Rim,0,1,3,Warner Bros. Pictures,PG-13,131,2013
American Hustle,0,1,2,Sony Pictures,R,138,2013
Olympus Has Fallen,0,1,2,FilmDistrict,R,119,2013
Lone Survivor,0,1,4,Universal Studios,R,121,2013
This Is the End,0,1,1,Sony Pictures,R,107,2013
42,0,1,3,Warner Bros. Pictures,PG-13,128,2013
The Wolf of Wall Street,0,1,3,Paramount Studios,R,180,2013
Elysium,0,1,3,TriStar Pictures,R,109,2013
The Lone Ranger,0,1,6,Walt Disney Pictures,PG-13,150,2013
Oblivion,0,1,3,Universal Pictures,PG-13,124,2013
Bad Grandpa,0,1,1,Paramount Pictures,R,92,2013
Turbo,0,1,6,DreamWorks Animation,PG,96,2013
Anchorman 2: The Legend Continues,0,1,1,Paramount Pictures,PG-13,119,2013
2 Guns,0,1,3,Universal Pictures,R,109,2013
White House Down,0,1,3,Sony Pictures,PG-13,131,2013
Insidious: Chapter 2,0,2,3,FilmDistrict,PG-13,106,2013
Planes,0,1,4,Walt Disney Pictures,PG,91,2013
Safe Haven,0,1,3,Relativity Media,PG-13,115,2013
The Smurfs 2,0,4,5,Sony Pictures,PG,105,2013
Percy Jackson: Sea of Monsters,0,1,4,20th Century Fox,PG,106,2013
A Good Day to Die Hard,0,3,2,20th Century Fox,R,98,2013
Warm Bodies,0,2,3,Lionsgate Films,PG-13,98,2013
The Purge,0,2,2,Universal Pictures,R,85,2013
Ender's Game,0,1,4,Summit Entertainment,PG-13,114,2013
Prisoners,0,1,4,Warner Bros.,R,153,2013
After Earth,0,1,6,Sony Pictures,PG-13,100,2013
Hansel & Gretel: Witch Hunters,0,2,3,Paramount Pictures/MGM,R,88,2013
Escape from Planet Earth,0,2,5,The Weinstein Co.,PG,89,2013
Evil Dead,0,1,3,TriStar Pictures,R,91,2013
Saving Mr. Banks,0,3,3,Walt Disney Pictures,PG-13,125,2013
RED 2,0,3,4,Lionsgate Films,PG-13,116,2013
A Madea Christmas,0,1,3,Lionsgate,PG-13,100,2013
Temptation: Confessions of a Marriage Counselor,0,1,2,Lionsgate Films,PG-13,111,2013
Last Vegas,0,1,2,CBS Films,PG-13,105,2013
12 Years a Slave,0,2,3,Fox Searchlight,R,134,2013
Pain & Gain,0,1,4,Paramount Studios,R,129,2013
Free Birds,0,1,5,Relativity Media,PG,91,2013
Gangster Squad,0,1,4,Warner Bros.,R,113,2013
The Internship,0,1,1,20th Century Fox,PG-13,119,2013
Snitch,0,3,3,Lionsgate/Summit Entertainment,PG-13,112,2013
Riddick,0,2,4,Universal Classics,R,119,2013
The Family,0,1,3,Relativity Media,Unrated,152,2013
The Family,0,2,3,Relativity Media,R,111,2013
Texas Chainsaw 3D,0,1,2,Lionsgate Films,R,92,2013
R.I.P.D.,0,1,4,Universal Pictures,PG-13,96,2013
The World's End,0,3,3,Focus Features,R,109,2013
The Secret Life of Walter Mitty,0,2,4,20th Century Fox,PG,114,2013
A Haunted House,0,1,2,Open Road Films,R,86,2013
Side Effects,0,1,4,Open Road Films,R,106,2013
Scary Movie 5,0,1,1,The Weinstein Company,PG-13,86,2013
The Mortal Instruments: City of Bones,0,4,5,Sony Pictures,PG-13,130,2013
Delivery Man,0,3,2,Walt Disney Pictures,PG-13,105,2013
August: Osage County,0,1,2,The Weinstein Company,R,121,2013
Kick-Ass 2,0,2,5,Universal Pictures,R,103,2013
Carrie,0,1,2,Sony Pictures,R,100,2013
The Host,0,2,6,Open Road Films,PG-13,125,2013
21 & Over,0,1,1,Relativity Media,R,93,2013
Dallas Buyers Club,0,1,2,Focus Features,R,117,2013
Walking with Dinosaurs 3D,0,3,3,20th Century Fox,PG,87,2013
The Incredible Burt Wonderstone,0,1,1,Warner Bros. Pictures,PG-13,100,2013
Rush,0,3,3,Universal Pictures,R,123,2013
The Way Way Back,0,1,2,Fox Searchlight,PG-13,103,2013
The Big Wedding,0,1,3,Lionsgate Films,R,89,2013
47 Ronin,0,4,3,Universal Pictures,PG-13,128,2013
Broken City,0,1,4,20th Century Fox,R,109,2013
Beautiful Creatures,0,1,3,Warner Bros. Pictures,PG-13,124,2013
Runner Runner,0,1,2,20th Century Fox,R,88,2013
Escape Plan,0,1,2,Summit Entertainment,R,115,2013
Admission,0,1,3,Focus Features,PG-13,107,2013
Her,0,1,3,Warner Bros. Pictures,R,126,2013
Parker,0,1,3,FilmDistrict,R,118,2013
Dark Skies,0,1,3,The Weinstein Company,PG-13,97,2013
Baggage Claim,0,1,2,Fox Searchlight,PG-13,96,2013
