title,box_office,country,genre,production,rating,runtime,year
Rogue One: A Star Wars Story,1,1,3,Walt Disney Pictures,PG-13,133,2016
Finding Dory,1,1,4,Walt Disney Pictures/PIXAR,PG,97,2016
Captain America: Civil War,1,1,3,Walt Disney Pictures,PG-13,147,2016
The Secret Life of Pets,1,3,4,Universal Pictures,PG,87,2016
The Jungle Book,1,2,4,Walt Disney Pictures,PG,106,2016
Zootopia,1,1,6,Walt Disney Animation Studios,PG,108,2016
Deadpool,1,1,4,20th Century Fox,R,108,2016
Suicide Squad,1,1,4,Warner Bros. Pictures,PG-13,123,2016
Batman v Superman: Dawn of Justice,1,1,3,Warner Bros. Pictures,PG-13,151,2016
Sing,1,2,4,Illumination Entertainment,PG,108,2016
Moana,1,1,6,Walt Disney Pictures,PG,107,2016
Fantastic Beasts and Where to Find Them,1,2,3,Warner Bros. Pictures,PG-13,132,2016
Doctor Strange,1,1,4,Walt Disney Pictures,PG-13,115,2016
Hidden Figures,1,1,3,20th Century Fox,PG,127,2016
Jason Bourne,1,2,2,Universal,PG-13,123,2016
Star Trek Beyond,1,4,4,Paramount Pictures,PG-13,122,2016
Trolls,1,1,6,DreamWorks Animation,PG,92,2016
La La Land,1,2,5,Liongate Films,PG-13,128,2016
Split,1,2,2,Universal Pictures,PG-13,117,2016
X-Men: Apocalypse,1,1,3,20th Century Fox,PG-13,144,2016
Ghostbusters,0,2,4,Sony Pictures,PG-13,116,2016
Kung Fu Panda 3,0,2,6,DreamWorks Animation,PG,95,2016
Central Intelligence,0,2,3,Warner Bros. Pictures,PG-13,107,2016
The Legend of Tarzan,0,3,5,Lionsgate Pictures,PG-13,110,2016
Sully,0,1,2,Warner Bros.,PG-13,96,2016
Bad Moms,0,1,1,Block Entertainment,R,100,2016
The Angry Birds Movie,0,2,5,Sony Pictures,PG,97,2016
Independence Day: Resurgence,0,1,3,20th Century Fox,PG-13,120,2016
The Conjuring 2,0,3,3,Warner Bros. Pictures,R,134,2016
Arrival,0,3,4,21 Laps Entertainment,PG-13,116,2016
Passengers,0,2,4,Columbia Pictures,PG-13,116,2016
Sausage Party,0,1,4,Sony Pictures,R,89,2016
The Magnificent Seven,0,1,3,Sony Pictures,PG-13,132,2016
Don't Breathe,0,2,3,Ghost House Pictures,R,88,2016
Miss Peregrine's Home for Peculiar Children,0,4,4,20th Century Fox,PG-13,127,2016
The Accountant,0,1,4,Warner Bros. Pictures,R,128,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,0,7,4,Paramount Pictures,PG-13,112,2016
Alice Through the Looking Glass,0,2,3,Walt Disney Pictures,PG,113,2016
Pete's Dragon,0,1,6,Walt Disney Pictures,PG,102,2016
The Girl on the Train,0,2,4,Universal Pictures,R,112,2016
Tyler Perry's Boo! A Madea Halloween,0,2,3,Lionsgate,PG-13,103,2016
Deepwater Horizon,0,2,4,Lionsgate,PG-13,107,2016
Storks,0,1,5,Warner Bros. Pictures,PG,87,2016
Lights Out,0,1,4,RatPac-Dune Entertainment,PG-13,81,2016
Hacksaw Ridge,0,2,4,Summit Entertainment,R,139,2016
Now You See Me 2,0,2,6,Lionsgate,PG-13,129,2016
Ice Age: Collision Course,0,1,7,20th Century Fox,PG,94,2016
Why Him?,0,2,1,20th Century Fox,R,111,2016
10 Cloverfield Lane,0,1,5,Bad Robot Productions,PG-13,103,2016
Jack Reacher: Never Go Back,0,2,2,Paramount Pictures,PG-13,118,2016
Fences,0,2,1,Paramount Pictures,PG-13,139,2016
Me Before You,0,2,2,Warner Bros. Pictures,PG-13,106,2016
The BFG,0,3,3,Walt Disney Pictures,PG,117,2016
The Shallows,0,1,3,Ombra Films,PG-13,86,2016
Office Christmas Party,0,2,1,Paramount Pictures,R,105,2016
Assassin's Creed,0,6,3,20th Century Fox,PG-13,115,2016
The Boss,0,1,1,Universal Pictures,R,99,2016
Barbershop: The Next Cut,0,1,2,Warner Bros. Pictures,PG-13,111,2016
My Big Fat Greek Wedding 2,0,2,2,Gold Circle Films,PG-13,94,2016
Lion,0,3,2,See-Saw Films,PG-13,118,2016
Kubo and the Two Strings,0,2,5,Focus Features,PG,101,2016
Manchester by the Sea,0,1,1,Roadside Attractions ,R,137,2016
The Huntsman: Winter's War,0,2,4,Universal Pictures,PG-13,114,2016
Mike and Dave Need Wedding Dates,0,1,2,20th Century Fox,R,98,2016
The Great Wall,0,5,4,Universal Pictures,PG-13,103,2016
Warcraft,0,4,3,Universal Pictures,PG-13,123,2016
War Dogs,0,2,5,Warner Bros. Pictures,R,114,2016
Almost Christmas,0,2,2,Will Packer Productions,PG-13,111,2016
Allied,0,2,5,Paramount Pictures,R,124,2016
Nerve,0,1,5,Keep Your Head,PG-13,96,2016
